prime,i,j,sign,bit width,mod add/sub
4093,12,1,-1,12,3
4091,12,2,-1,12,3
4093,12,2,1,12,4
4079,12,4,-1,12,3
3967,12,7,-1,12,4
3583,12,9,-1,12,4
8191,13,1,1,13,4
8161,13,5,1,13,4
7937,13,8,1,13,6
7681,13,9,1,13,8
6143,13,11,-1,13,8
16381,14,1,-1,14,3
16381,14,2,1,14,4
16369,14,4,1,14,4
16319,14,6,-1,14,3
16127,14,8,-1,14,4
15359,14,10,-1,14,5
15361,14,10,1,14,8
12289,14,12,1,14,13
8191,14,13,-1,13,14
32257,15,9,1,15,6
65519,16,4,-1,16,3
65521,16,4,1,16,4
65407,16,7,-1,16,3
64513,16,10,1,16,6
63487,16,11,-1,16,5
61441,16,12,1,16,7
131071,17,1,1,17,4
131063,17,3,-1,17,3
131041,17,5,1,17,4
131009,17,6,1,17,4
130817,17,8,1,17,4
129023,17,11,-1,17,4
114689,17,14,1,17,12
65537,17,16,1,17,33
262139,18,2,-1,18,3
262127,18,4,-1,18,3
262111,18,5,-1,18,3
262079,18,6,-1,18,3
261887,18,8,-1,18,3
261631,18,9,-1,18,2
253951,18,13,-1,18,5
245759,18,14,-1,18,6
131071,18,17,-1,17,18
524287,19,1,1,19,4
524257,19,5,1,19,4
523777,19,9,1,19,4
522239,19,11,-1,19,4
520193,19,12,1,19,6
1048573,20,1,-1,20,3
1048571,20,2,-1,20,3
1048573,20,2,1,20,4
1048559,20,4,-1,20,3
1048447,20,7,-1,20,3
1048063,20,9,-1,20,3
1047551,20,10,-1,20,2
1046527,20,11,-1,20,4
1044479,20,12,-1,20,4
1032191,20,14,-1,20,5
1032193,20,14,1,20,8
917503,20,17,-1,20,8
786431,20,18,-1,20,10
786433,20,18,1,20,19
524287,20,19,-1,19,20
2097143,21,3,-1,21,3
2097023,21,7,-1,21,3
2096639,21,9,-1,21,3
1966079,21,17,-1,21,7
4194301,22,1,-1,22,3
4194301,22,2,1,22,4
4194287,22,4,-1,22,3
4194271,22,5,-1,22,3
4193279,22,10,-1,22,3
4128767,22,16,-1,22,5
8388593,23,4,1,23,4
8380417,23,13,1,23,6
8257537,23,17,1,23,8
7340033,23,20,1,23,16
16777213,24,1,-1,24,3
16777213,24,2,1,24,4
16777199,24,4,-1,24,3
16777183,24,5,-1,24,3
16777153,24,6,1,24,4
16776961,24,8,1,24,4
16776191,24,10,-1,24,3
16769023,24,13,-1,24,4
16760833,24,14,1,24,6
16744447,24,15,-1,24,4
16515073,24,18,1,24,7
14680063,24,21,-1,24,8
33550337,25,12,1,25,4
33546239,25,13,-1,25,4
33538049,25,14,1,25,6
33292289,25,18,1,25,8
67108859,26,2,-1,26,3
67108351,26,9,-1,26,3
67104769,26,12,1,26,4
67043329,26,16,1,26,6
134215681,27,11,1,27,4
132120577,27,21,1,27,10
268369921,28,16,1,28,6
260046847,28,23,-1,28,7
536870909,29,1,-1,29,3
536870909,29,2,1,29,4
536870879,29,5,-1,29,3
536870849,29,6,1,29,4
536870657,29,8,1,29,4
536870401,29,9,1,29,4
536868863,29,11,-1,29,3
536862719,29,13,-1,29,3
536739839,29,17,-1,29,4
536608769,29,18,1,29,6
469762049,29,26,1,29,20
1073741567,30,8,-1,30,3
1073741311,30,9,-1,30,3
